,pokemon,base_experience,height,name,order,weight,abilities,moves,types
495,horsea,59,4,horsea,186,80,"'swift-swim', 'sniper', 'damp'","'razor-wind', 'headbutt', 'take-down', 'double-edge', 'leer', 'disable', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'dragon-rage', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'smokescreen', 'focus-energy', 'bide', 'waterfall', 'swift', 'skull-bash', 'bubble', 'splash', 'rest', 'substitute', 'snore', 'curse', 'flail', 'protect', 'octazooka', 'icy-wind', 'outrage', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'hidden-power', 'twister', 'rain-dance', 'whirlpool', 'hail', 'facade', 'secret-power', 'dive', 'signal-beam', 'muddy-water', 'bounce', 'dragon-dance', 'water-pulse', 'brine', 'natural-gift', 'dragon-pulse', 'flash-cannon', 'captivate', 'round', 'clear-smog', 'scald', 'confide', 'laser-focus', 'liquidation', 'scale-shot', 'flip-turn'",'water'
496,houndoom,175,14,houndoom,330,350,"'early-bird', 'flash-fire', 'unnerve'","'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'counter', 'strength', 'solar-beam', 'fire-spin', 'toxic', 'mimic', 'double-team', 'smog', 'fire-blast', 'swift', 'dream-eater', 'rest', 'super-fang', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'reversal', 'spite', 'protect', 'scary-face', 'feint-attack', 'sludge-bomb', 'mud-slap', 'detect', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'beat-up', 'uproar', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'taunt', 'helping-hand', 'role-play', 'snatch', 'secret-power', 'hyper-voice', 'overheat', 'odor-sleuth', 'howl', 'mud-shot', 'natural-gift', 'payback', 'embargo', 'sucker-punch', 'flare-blitz', 'dark-pulse', 'giga-impact', 'nasty-plot', 'thunder-fang', 'fire-fang', 'captivate', 'flame-charge', 'foul-play', 'round', 'incinerate', 'retaliate', 'inferno', 'snarl', 'confide', 'laser-focus', 'throat-chop', 'psychic-fangs', 'tera-blast', 'trailblaze', 'comeuppance'","'dark', 'fire'"
497,houndoom-mega,210,19,houndoom-mega,331,495,'solar-power',"'leer', 'bite', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'strength', 'solar-beam', 'toxic', 'double-team', 'smog', 'fire-blast', 'dream-eater', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'spite', 'protect', 'feint-attack', 'sludge-bomb', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'beat-up', 'uproar', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'taunt', 'role-play', 'snatch', 'secret-power', 'hyper-voice', 'overheat', 'odor-sleuth', 'howl', 'payback', 'embargo', 'dark-pulse', 'giga-impact', 'nasty-plot', 'thunder-fang', 'fire-fang', 'flame-charge', 'foul-play', 'round', 'incinerate', 'retaliate', 'inferno', 'snarl', 'confide', 'laser-focus', 'throat-chop'","'dark', 'fire'"
498,houndour,66,6,houndour,329,108,"'early-bird', 'flash-fire', 'unnerve'","'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'roar', 'ember', 'flamethrower', 'counter', 'solar-beam', 'fire-spin', 'toxic', 'rage', 'mimic', 'double-team', 'smog', 'fire-blast', 'swift', 'dream-eater', 'rest', 'super-fang', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'reversal', 'spite', 'protect', 'scary-face', 'feint-attack', 'sludge-bomb', 'mud-slap', 'destiny-bond', 'detect', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'beat-up', 'uproar', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'taunt', 'helping-hand', 'role-play', 'snatch', 'secret-power', 'hyper-voice', 'overheat', 'odor-sleuth', 'howl', 'mud-shot', 'natural-gift', 'feint', 'payback', 'embargo', 'punishment', 'sucker-punch', 'flare-blitz', 'dark-pulse', 'nasty-plot', 'thunder-fang', 'fire-fang', 'captivate', 'flame-charge', 'foul-play', 'round', 'incinerate', 'retaliate', 'inferno', 'snarl', 'confide', 'psychic-fangs', 'tera-blast', 'trailblaze', 'comeuppance'","'dark', 'fire'"
500,huntail,170,17,huntail,488,270,"'swift-swim', 'water-veil'","'bind', 'body-slam', 'double-edge', 'bite', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'toxic', 'mimic', 'screech', 'double-team', 'waterfall', 'swift', 'rest', 'super-fang', 'substitute', 'snore', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'hidden-power', 'rain-dance', 'crunch', 'whirlpool', 'hail', 'facade', 'snatch', 'secret-power', 'dive', 'rock-tomb', 'bounce', 'water-pulse', 'brine', 'natural-gift', 'sucker-punch', 'aqua-tail', 'giga-impact', 'ice-fang', 'captivate', 'coil', 'round', 'scald', 'confide', 'infestation'",'water'
501,hydreigon,300,18,hydreigon,758,1600,'levitate',"'fly', 'slam', 'headbutt', 'tackle', 'body-slam', 'take-down', 'bite', 'roar', 'flamethrower', 'hydro-pump', 'surf', 'hyper-beam', 'strength', 'dragon-rage', 'fire-spin', 'thunder-wave', 'earthquake', 'toxic', 'screech', 'double-team', 'reflect', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'tri-attack', 'substitute', 'thief', 'snore', 'spite', 'protect', 'scary-face', 'outrage', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'psych-up', 'rock-smash', 'beat-up', 'uproar', 'heat-wave', 'torment', 'facade', 'taunt', 'helping-hand', 'superpower', 'secret-power', 'hyper-voice', 'rock-tomb', 'signal-beam', 'dragon-dance', 'shock-wave', 'roost', 'tailwind', 'u-turn', 'payback', 'assurance', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'dragon-rush', 'focus-blast', 'earth-power', 'giga-impact', 'nasty-plot', 'thunder-fang', 'ice-fang', 'fire-fang', 'zen-headbutt', 'flash-cannon', 'defog', 'draco-meteor', 'stone-edge', 'stealth-rock', 'charge-beam', 'double-hit', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'bulldoze', 'dragon-tail', 'work-up', 'snarl', 'confide', 'throat-chop', 'brutal-swing', 'stomping-tantrum', 'breaking-swipe', 'scale-shot', 'dual-wingbeat', 'tera-blast'","'dark', 'dragon'"
502,hypno,169,16,hypno,155,756,"'insomnia', 'forewarn', 'inner-focus'","'pound', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'disable', 'psybeam', 'hyper-beam', 'submission', 'low-kick', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'meditate', 'rage', 'teleport', 'night-shade', 'mimic', 'double-team', 'confuse-ray', 'barrier', 'light-screen', 'reflect', 'bide', 'metronome', 'swift', 'skull-bash', 'dream-eater', 'poison-gas', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'scary-face', 'zap-cannon', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'baton-pass', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'trick', 'role-play', 'magic-coat', 'recycle', 'brick-break', 'skill-swap', 'imprison', 'snatch', 'secret-power', 'signal-beam', 'calm-mind', 'wake-up-slap', 'natural-gift', 'fling', 'drain-punch', 'focus-blast', 'switcheroo', 'giga-impact', 'nasty-plot', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'psyshock', 'telekinesis', 'magic-room', 'synchronoise', 'low-sweep', 'foul-play', 'round', 'stored-power', 'ally-switch', 'hex', 'draining-kiss', 'confide', 'dazzling-gleam', 'power-up-punch', 'psychic-terrain', 'body-press', 'tera-blast', 'trailblaze'",'psychic'
503,igglybuff,42,3,igglybuff,70,10,"'cute-charm', 'competitive', 'friend-guard'","'pound', 'mega-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'sing', 'disable', 'flamethrower', 'counter', 'seismic-toss', 'solar-beam', 'thunder-wave', 'dig', 'toxic', 'psychic', 'mimic', 'screech', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'fire-blast', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'nightmare', 'snore', 'curse', 'protect', 'feint-attack', 'sweet-kiss', 'mud-slap', 'zap-cannon', 'perish-song', 'icy-wind', 'detect', 'endure', 'charm', 'rollout', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'present', 'frustration', 'safeguard', 'pain-split', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'uproar', 'facade', 'helping-hand', 'role-play', 'wish', 'magic-coat', 'recycle', 'endeavor', 'secret-power', 'hyper-voice', 'fake-tears', 'bounce', 'covet', 'shock-wave', 'water-pulse', 'gravity', 'natural-gift', 'fling', 'copycat', 'punishment', 'last-resort', 'captivate', 'grass-knot', 'round', 'echoed-voice', 'heal-pulse', 'incinerate', 'work-up', 'wild-charge', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'play-rough', 'confide', 'dazzling-gleam', 'tera-blast', 'trailblaze'","'normal', 'fairy'"
504,illumise,151,6,illumise,422,177,"'oblivious', 'tinted-lens', 'prankster'","'mega-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'tackle', 'body-slam', 'double-edge', 'counter', 'seismic-toss', 'growth', 'solar-beam', 'string-shot', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'quick-attack', 'mimic', 'double-team', 'confuse-ray', 'light-screen', 'metronome', 'swift', 'flash', 'rest', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'encore', 'sweet-scent', 'moonlight', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'flatter', 'facade', 'focus-punch', 'helping-hand', 'wish', 'brick-break', 'secret-power', 'aromatherapy', 'fake-tears', 'air-cutter', 'silver-wind', 'aerial-ace', 'covet', 'shock-wave', 'water-pulse', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'fling', 'bug-buzz', 'zen-headbutt', 'defog', 'captivate', 'bug-bite', 'charge-beam', 'ominous-wind', 'round', 'acrobatics', 'struggle-bug', 'play-rough', 'play-nice', 'confide', 'dazzling-gleam', 'infestation', 'power-up-punch'",'bug'
505,impidimp,53,4,impidimp,1043,55,"'prankster', 'frisk', 'pickpocket'","'mega-punch', 'mega-kick', 'take-down', 'bite', 'low-kick', 'thunder-wave', 'light-screen', 'reflect', 'metronome', 'leech-life', 'rest', 'substitute', 'thief', 'snore', 'protect', 'scary-face', 'endure', 'swagger', 'attract', 'sleep-talk', 'fake-out', 'uproar', 'torment', 'flatter', 'facade', 'taunt', 'trick', 'revenge', 'fake-tears', 'assurance', 'fling', 'sucker-punch', 'dark-pulse', 'drain-punch', 'nasty-plot', 'foul-play', 'round', 'retaliate', 'parting-shot', 'draining-kiss', 'misty-terrain', 'play-rough', 'confide', 'dazzling-gleam', 'burning-jealousy', 'lash-out', 'tera-blast', 'trailblaze', 'chilling-water'","'dark', 'fairy'"
506,incineroar,265,18,incineroar,873,830,"'blaze', 'intimidate'","'mega-punch', 'pay-day', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'bind', 'double-kick', 'mega-kick', 'body-slam', 'thrash', 'leer', 'bite', 'growl', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'low-kick', 'fire-spin', 'earthquake', 'toxic', 'double-team', 'lick', 'fire-blast', 'leech-life', 'fury-swipes', 'rest', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'outrage', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'cross-chop', 'sunny-day', 'crunch', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'superpower', 'revenge', 'brick-break', 'knock-off', 'endeavor', 'snatch', 'blaze-kick', 'blast-burn', 'overheat', 'bulk-up', 'covet', 'u-turn', 'close-combat', 'assurance', 'embargo', 'fling', 'flare-blitz', 'dark-pulse', 'drain-punch', 'focus-blast', 'giga-impact', 'nasty-plot', 'shadow-claw', 'fire-fang', 'iron-head', 'flame-charge', 'low-sweep', 'round', 'quash', 'acrobatics', 'fire-pledge', 'bulldoze', 'work-up', 'dual-chop', 'heat-crash', 'snarl', 'confide', 'darkest-lariat', 'throat-chop', 'brutal-swing', 'stomping-tantrum', 'burning-jealousy', 'lash-out', 'scorching-sands'","'fire', 'dark'"
507,indeedee-female,166,9,indeedee-female,1062,280,"'own-tempo', 'synchronize', 'psychic-surge'","'pay-day', 'body-slam', 'take-down', 'psybeam', 'psychic', 'light-screen', 'reflect', 'metronome', 'swift', 'rest', 'substitute', 'snore', 'protect', 'endure', 'charm', 'attract', 'sleep-talk', 'safeguard', 'baton-pass', 'psych-up', 'shadow-ball', 'future-sight', 'fake-out', 'facade', 'follow-me', 'helping-hand', 'trick', 'skill-swap', 'imprison', 'hyper-voice', 'aromatherapy', 'magical-leaf', 'calm-mind', 'healing-wish', 'psycho-shift', 'guard-swap', 'drain-punch', 'energy-ball', 'zen-headbutt', 'guard-split', 'psyshock', 'round', 'stored-power', 'ally-switch', 'heal-pulse', 'disarming-voice', 'draining-kiss', 'play-rough', 'play-nice', 'mystical-fire', 'dazzling-gleam', 'psychic-terrain', 'expanding-force', 'terrain-pulse', 'tera-blast'","'psychic', 'normal'"
508,indeedee-male,166,9,indeedee-male,1061,280,"'inner-focus', 'synchronize', 'psychic-surge'","'pay-day', 'body-slam', 'take-down', 'psybeam', 'psychic', 'metronome', 'swift', 'rest', 'tri-attack', 'substitute', 'snore', 'protect', 'endure', 'attract', 'sleep-talk', 'encore', 'psych-up', 'shadow-ball', 'future-sight', 'fake-out', 'facade', 'helping-hand', 'trick', 'skill-swap', 'imprison', 'hyper-voice', 'aromatherapy', 'extrasensory', 'magical-leaf', 'calm-mind', 'healing-wish', 'power-swap', 'last-resort', 'drain-punch', 'energy-ball', 'zen-headbutt', 'trick-room', 'power-split', 'wonder-room', 'psyshock', 'magic-room', 'after-you', 'round', 'stored-power', 'ally-switch', 'disarming-voice', 'draining-kiss', 'play-rough', 'play-nice', 'mystical-fire', 'dazzling-gleam', 'psychic-terrain', 'expanding-force', 'terrain-pulse', 'tera-blast'","'psychic', 'normal'"
509,infernape,240,12,infernape,523,550,"'blaze', 'iron-fist'","'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'headbutt', 'leer', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'low-kick', 'strength', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'toxic', 'double-team', 'fire-blast', 'swift', 'fury-swipes', 'rest', 'rock-slide', 'substitute', 'flame-wheel', 'snore', 'protect', 'mach-punch', 'mud-slap', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'sunny-day', 'rock-smash', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'role-play', 'brick-break', 'endeavor', 'secret-power', 'blast-burn', 'overheat', 'rock-tomb', 'aerial-ace', 'bulk-up', 'covet', 'calm-mind', 'natural-gift', 'feint', 'u-turn', 'close-combat', 'fling', 'punishment', 'flare-blitz', 'poison-jab', 'vacuum-wave', 'focus-blast', 'giga-impact', 'shadow-claw', 'rock-climb', 'gunk-shot', 'stone-edge', 'captivate', 'stealth-rock', 'grass-knot', 'hone-claws', 'flame-charge', 'low-sweep', 'round', 'incinerate', 'acrobatics', 'retaliate', 'fire-pledge', 'bulldoze', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'laser-focus'","'fire', 'fighting'"
510,inkay,58,4,inkay,821,35,"'contrary', 'suction-cups', 'infiltrator'","'cut', 'bind', 'tackle', 'wrap', 'disable', 'flamethrower', 'psybeam', 'peck', 'thunderbolt', 'toxic', 'psychic', 'hypnosis', 'double-team', 'light-screen', 'reflect', 'constrict', 'flash', 'psywave', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'spite', 'protect', 'destiny-bond', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'future-sight', 'torment', 'flatter', 'facade', 'taunt', 'role-play', 'superpower', 'knock-off', 'snatch', 'secret-power', 'camouflage', 'fake-tears', 'aerial-ace', 'calm-mind', 'pluck', 'acupressure', 'payback', 'embargo', 'fling', 'guard-swap', 'dark-pulse', 'night-slash', 'switcheroo', 'nasty-plot', 'psycho-cut', 'trick-room', 'power-split', 'telekinesis', 'foul-play', 'simple-beam', 'round', 'stored-power', 'ally-switch', 'retaliate', 'topsy-turvy', 'confide', 'liquidation', 'expanding-force', 'lash-out'","'dark', 'psychic'"
511,inteleon,265,19,inteleon,999,452,"'torrent', 'sniper'","'pound', 'swords-dance', 'bind', 'take-down', 'growl', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'agility', 'light-screen', 'reflect', 'focus-energy', 'metronome', 'waterfall', 'swift', 'rest', 'substitute', 'snore', 'protect', 'icy-wind', 'endure', 'attract', 'sleep-talk', 'safeguard', 'baton-pass', 'rain-dance', 'shadow-ball', 'whirlpool', 'facade', 'taunt', 'dive', 'hydro-cannon', 'weather-ball', 'air-cutter', 'muddy-water', 'icicle-spear', 'bounce', 'mud-shot', 'water-pulse', 'u-turn', 'fling', 'sucker-punch', 'dark-pulse', 'air-slash', 'giga-impact', 'soak', 'round', 'scald', 'acrobatics', 'water-pledge', 'work-up', 'liquidation', 'tearful-look', 'snipe-shot', 'breaking-swipe', 'scale-shot', 'tera-blast', 'snowscape', 'chilling-water'",'water'
512,inteleon-gmax,265,400,inteleon-gmax,-1,10000,"'torrent', 'sniper'",,'water'
521,ivysaur,142,10,ivysaur,2,130,"'overgrow', 'chlorophyll'","'swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'helping-hand', 'knock-off', 'secret-power', 'weather-ball', 'bullet-seed', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'grassy-terrain', 'confide', 'grassy-glide'","'grass', 'poison'"
522,jangmo-o,60,6,jangmo-o,958,297,"'bulletproof', 'soundproof', 'overcoat'","'swords-dance', 'headbutt', 'tackle', 'leer', 'roar', 'low-kick', 'counter', 'earthquake', 'toxic', 'screech', 'double-team', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'outrage', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dragon-breath', 'iron-tail', 'hidden-power', 'uproar', 'facade', 'focus-punch', 'taunt', 'brick-break', 'rock-tomb', 'aerial-ace', 'iron-defense', 'dragon-claw', 'bulk-up', 'dragon-dance', 'payback', 'fling', 'aqua-tail', 'x-scissor', 'dragon-pulse', 'focus-blast', 'shadow-claw', 'draco-meteor', 'iron-head', 'round', 'echoed-voice', 'bulldoze', 'dragon-tail', 'work-up', 'dual-chop', 'noble-roar', 'confide', 'scale-shot'",'dragon'
523,jellicent,168,22,jellicent,715,1350,"'water-absorb', 'cursed-body', 'damp'","'bind', 'poison-sting', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'absorb', 'toxic', 'psychic', 'night-shade', 'double-team', 'recover', 'waterfall', 'dream-eater', 'bubble', 'flash', 'acid-armor', 'rest', 'substitute', 'snore', 'spite', 'protect', 'sludge-bomb', 'destiny-bond', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'pain-split', 'hidden-power', 'rain-dance', 'psych-up', 'shadow-ball', 'whirlpool', 'hail', 'will-o-wisp', 'facade', 'taunt', 'trick', 'magic-coat', 'imprison', 'secret-power', 'dive', 'water-spout', 'muddy-water', 'water-sport', 'shock-wave', 'water-pulse', 'brine', 'wring-out', 'dark-pulse', 'energy-ball', 'giga-impact', 'trick-room', 'ominous-wind', 'sludge-wave', 'round', 'scald', 'hex', 'confide', 'dazzling-gleam', 'poltergeist'","'water', 'ghost'"
524,jigglypuff,95,5,jigglypuff,71,55,"'cute-charm', 'competitive', 'friend-guard'","'pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'sing', 'disable', 'flamethrower', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'screech', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'metronome', 'self-destruct', 'fire-blast', 'swift', 'skull-bash', 'amnesia', 'dream-eater', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'sweet-kiss', 'mud-slap', 'zap-cannon', 'icy-wind', 'detect', 'sandstorm', 'endure', 'charm', 'rollout', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'pain-split', 'dynamic-punch', 'baton-pass', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'uproar', 'stockpile', 'spit-up', 'swallow', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'role-play', 'magic-coat', 'recycle', 'brick-break', 'knock-off', 'endeavor', 'skill-swap', 'snatch', 'secret-power', 'hyper-voice', 'fake-tears', 'bounce', 'covet', 'magical-leaf', 'calm-mind', 'shock-wave', 'water-pulse', 'gravity', 'wake-up-slap', 'gyro-ball', 'natural-gift', 'fling', 'copycat', 'last-resort', 'dark-pulse', 'drain-punch', 'energy-ball', 'nasty-plot', 'zen-headbutt', 'captivate', 'stealth-rock', 'grass-knot', 'charge-beam', 'psyshock', 'telekinesis', 'round', 'echoed-voice', 'stored-power', 'ally-switch', 'incinerate', 'retaliate', 'work-up', 'wild-charge', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'play-rough', 'play-nice', 'confide', 'dazzling-gleam', 'power-up-punch', 'body-press', 'steel-roller', 'misty-explosion', 'tera-blast', 'ice-spinner', 'trailblaze', 'chilling-water'","'normal', 'fairy'"
525,jirachi,300,3,jirachi,513,11,'serene-grace',"'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'confusion', 'psychic', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'metronome', 'swift', 'amnesia', 'dream-eater', 'flash', 'rest', 'substitute', 'nightmare', 'snore', 'protect', 'mud-slap', 'icy-wind', 'sandstorm', 'endure', 'charm', 'swagger', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'baton-pass', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'shadow-ball', 'future-sight', 'uproar', 'facade', 'helping-hand', 'trick', 'wish', 'magic-coat', 'recycle', 'skill-swap', 'imprison', 'refresh', 'secret-power', 'meteor-mash', 'cosmic-power', 'signal-beam', 'aerial-ace', 'iron-defense', 'calm-mind', 'shock-wave', 'water-pulse', 'doom-desire', 'gravity', 'healing-wish', 'natural-gift', 'u-turn', 'fling', 'lucky-chant', 'last-resort', 'aura-sphere', 'drain-punch', 'energy-ball', 'giga-impact', 'zen-headbutt', 'flash-cannon', 'trick-room', 'iron-head', 'stealth-rock', 'grass-knot', 'charge-beam', 'psyshock', 'telekinesis', 'magic-room', 'round', 'stored-power', 'ally-switch', 'play-rough', 'confide', 'dazzling-gleam', 'power-up-punch', 'life-dew', 'steel-beam', 'expanding-force', 'meteor-beam'","'steel', 'psychic'"
526,jolteon,184,8,jolteon,218,245,"'volt-absorb', 'quick-feet'","'pay-day', 'double-kick', 'sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'pin-missile', 'bite', 'growl', 'roar', 'hyper-beam', 'strength', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'light-screen', 'reflect', 'focus-energy', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'zap-cannon', 'detect', 'endure', 'charm', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'baton-pass', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'facade', 'helping-hand', 'yawn', 'secret-power', 'hyper-voice', 'weather-ball', 'fake-tears', 'signal-beam', 'covet', 'calm-mind', 'shock-wave', 'natural-gift', 'copycat', 'last-resort', 'magnet-rise', 'giga-impact', 'thunder-fang', 'discharge', 'captivate', 'charge-beam', 'electro-ball', 'round', 'echoed-voice', 'stored-power', 'retaliate', 'volt-switch', 'work-up', 'wild-charge', 'confide', 'eerie-impulse', 'electric-terrain', 'baby-doll-eyes', 'laser-focus', 'rising-voltage', 'tera-blast', 'trailblaze'",'electric'
